description,label,count_of_important_words,description_length,count_of_characters,average_length_of_words,number_of_punctuation,number_of_nouns,number_of_noun_phrases,number_of_verbs,number_of_adj,count_of_sentences,number_of_characters_in_largest_sentence,number_of_characters_in_smallest_sentence,number_of_nouns_in_largest_sentence,number_of_verbs_in_largest_sentence,number_of_adjectives_in_largest_sentence,count_of_stopwords,count_title_case_words,automated_readability_index,count_of_adverbs,lexical_density
"Lightly peated and briny initially; aeration stimulates deeper, fruitier fragrances to salted pretzel, kiwi, kumquat and smoldering embers. Palate entry is salty and seaweed-like, with hints of cigarette ash and loose-leaf tobacco; midpalate highlights the briny sea air and powdered cocoa. Finishes zesty, delicately peaty and clean. Delightfully agile and lean.",spirits_taster,3,53,363,6.849056603773585,13,22,10,4,12,4,30,5,12,1,6,12,4,17.454056603773587,4,79.24528301886792
"Slightly disappointing bouquet features smells of roasted walnut, figs, dates and beeswax. Palate entry is honey-sweet, fruitcake-like, with flavors of pineapple, apricot and white raisins; midpalate becomes deeper with layers of oak, resin, oloroso Sherry, dark caramel, dark bittersweet chocolate and egg cream. Concludes with power and grace. Delicious.",spirits_taster,6,51,356,6.980392156862745,16,22,6,5,11,4,44,2,14,3,9,11,5,17.822647058823527,1,76.47058823529412
"The nosing passes find notes of almond paste, straw, brown butter, nougat, dark toffee, worn saddle leather and canola oil. Rich flavors of caramel, cocoa, and malted barley at entry; midpalate adds flavors of tapioca, old honey and butter cream on top of the intense graininess. Finishes malty sweet, buttery, oily and multilayered. Very nice.",spirits_taster,5,55,344,6.254545454545455,15,26,10,3,11,4,31,3,12,1,5,13,4,14.903909090909089,3,78.18181818181819
"The first nosing passes find concentrated, spirited scents and fruity aromas of pears, hazelnut and oak; aeration adds subtler notes of orange peel, paraffin and cake frosting. Palate entry is prickly, zesty and acidic; midpalate is toasty, creamy, spicy, leathery and oily. Finishes warm, moderately sweet, oily and succulent.",spirits_taster,6,49,327,6.673469387755102,14,21,6,4,14,3,32,10,15,2,4,11,3,18.16870748299319,1,81.63265306122449
"Delicate aromas of apple peel, dried herbs, leather, beeswax and palm oil. Palate entry is biscuity, softly Sherried and honeyed; at midpalate the alcohol turns pleasingly prickly and vibrant with cookie dough and honey tastes. Concludes on a sweet note that's just the right intensity.",spirits_taster,4,46,286,6.217391304347826,8,18,10,6,8,3,26,12,8,3,4,13,4,15.52057971014493,3,76.08695652173914
"Leathery and oily in the opening waves of aroma; nougaty following further air exposure; cocoa-orangey at the very last sniff. Palate entry is tart, fresh, oaky and prickly; midpalate features tastes of old leather, prunes, dates, black raisins, marzipan, brown sugar and dark caramel. The finish goes from sweet to bittersweet, smooth to raw, and orangey to oaky.",spirits_taster,5,59,364,6.169491525423729,16,21,10,5,16,3,33,17,11,1,9,18,3,17.461638418079097,2,74.57627118644068
"The bouquet features smells of rubber tire, rubber band, glue, yeast, celery, brown rice, soy, burning sage, and peat. Palate entry features sweet, malty and caramel-like tastes; midpalate becomes very smoky with a sweet, grainy leaning. Concludes delightfully sweet, malty, smoky and piquant. Great job here.",spirits_taster,6,47,309,6.574468085106383,18,18,6,8,11,4,28,4,11,4,1,8,4,15.41074468085106,3,85.1063829787234
"The first nosing passes find medicinal reek; this blows off after aeration, leaving behind delightful scents of baked pear, Key lime, meringue and joss stick. Entry is intensely spirity, and almost too hot; at midpalate the flavor becomes pastry-like, malty, fruity and moderately peaty. Finishes a touch lean, nearly astringent and pleasantly smoky.",spirits_taster,3,54,350,6.481481481481482,13,18,5,7,10,3,30,11,9,4,5,14,4,18.09777777777778,7,77.77777777777779
"Smells of wet blue jeans, damp soil, spring garden after a shower. Palate entry is deliciously oily, bittersweet, astringent and grainy; midpalate showcases tastes of chocolate covered orange, orange rind, honey wheat bread, fruitcake and dried red fruits. Finishes smooth, clean, decidedly sweet and nutty.",spirits_taster,3,45,307,6.822222222222222,13,19,8,5,12,3,33,10,12,3,7,8,3,18.202666666666666,2,84.44444444444444
"The bouquet is sooty and intensely resiny. Palate entry is resiny sweet and smoky; midpalate is less aggressively peaty and deliciously malty. Concludes sooty and less sweet than the midpalate, returning to the sap and peatreek of the bouquet and entry. Uneven but good.",spirits_taster,5,44,270,6.136363636363637,6,9,5,8,8,4,21,4,5,2,2,17,4,12.972272727272731,5,68.18181818181817
"The bouquet features round, fruity fragrances supplemented by hints of light toffee and marzipan; Entry is full-bodied and oaky; midpalate features a seductively sensuous and satiny texture plus evolved flavors of caramel, maple, fudge and chocolate-covered orange peel. Finish is like chocolate-covered peanuts and honey. Very nice but I prefer the fabulous Chivas 18.",spirits_taster,5,57,369,6.473684210526316,11,20,5,9,9,4,48,2,17,6,6,16,5,16.186052631578953,2,70.17543859649122
"An uninteresting bouquet of dull aromas of canned corn and squash. Palate entry is hot and aggressive, but displays an appealing corndog plumpness; midpalate tones down the alcohol, leaving behind a fat, oily whiskey that's intensely buttery and rich in the aftertaste. A bit too awkward and rudimentary.",spirits_taster,3,49,304,6.204081632653061,7,14,9,6,10,3,37,7,9,5,6,17,1,15.957891156462587,3,67.3469387755102
"Aromas of palm oil, lanolin, unsalted butter; sawdust and tar. Palate entry shows some grainy charm and sweetness as well as traces of black pepper and light caramel; midpalate offers tastes of honey, new oak, lanolin and bitter grain kernel. Ends up tarry, a bit smoky, harsh and prickly. Too raw but shows promise.",spirits_taster,6,54,316,5.851851851851852,12,22,8,3,12,4,34,6,12,2,7,15,3,12.882222222222225,3,74.07407407407408
"This r-t-d uses genuine Jim Beam Bourbon, not malt liqueur. Initial nosing pass has grainy bourbon whiskey written all over it. Tasty palate entry has both the cola and Jim Beam accounted for; the midpalate is pleasant, more off-dry than sweet and true to the Jim Beam element. Finishes savory and sweet. The real deal.",spirits_taster,5,58,319,5.5,11,18,11,6,10,5,32,4,6,3,5,18,11,10.275000000000002,3,63.793103448275865
"First sniffs pick up delicate, grainy aromas that are simple but mildly alluring; more air contact stimulates a caramel-like sweetness, with a trace of almonds. Palate entry is pleasingly sweet in a sugary manner; the midpalate is sugary then leans more towards honey in the finish. Unpretentious, drinkable and recommendable for whisky neophytes.",spirits_taster,6,54,347,6.425925925925926,9,14,9,7,16,3,31,9,8,4,7,20,3,17.83611111111111,3,74.07407407407408
"Scents of wood and grapes evolve into aromas of peanuts, baked bread and oak resin. Taste is dry to off-dry, with flavors of light toffee, honey, caramel, peanut butter and marshmallow. Ends long, a little narrow in scope, and semisweet. A young Armagnac that requires a bit of patience.",spirits_taster,6,50,287,5.74,12,21,5,4,7,4,23,10,8,1,3,17,3,11.855399999999996,2,68.0
"Opening aroma is assertive, dry, with peppery scents of barley husk, grainy oil and cracked wheat wafer; seven more minutes bring out a mildly sweeter, slightly vanilla bean, brown rice-like side. Palate entry is pleasantly prickly, textured and moderately sweet; at midpalate, the taste profile turns stunningly sappy and resin-like. Finishes dry to off-dry and keenly resiny.",spirits_taster,9,60,377,6.283333333333333,15,21,10,7,13,3,40,10,14,3,7,14,3,18.164499999999997,7,80.0
"Displays a strong, mildly salty sea breeze aroma plus traces of mild peat, smoke and freshly mown hay. Palate entry taste is off-dry, grassy, moderately briny and delicate; by midpalate, the flavor profile shifts gears by going sweeter, more caramel-like and malty. Ends up on the sweeter side of the scale.",spirits_taster,5,53,307,5.7924528301886795,12,18,7,4,11,3,34,10,8,3,6,15,3,14.685786163522017,6,73.58490566037736
"Initial whiffs detect an alluring road tar/asphalt, licorice-like sweetness; aeration expands the bouquet by including smoky scents of cigarette ash, tobacco and vanilla bean. Palate entry is sweet, nearly maple-like and viscous; by midpalate, the sweetness turns intensely bitter, bean- and sap-like. Concludes sweet in the throat.",spirits_taster,8,51,332,6.509803921568627,14,21,9,6,11,3,32,6,14,3,4,12,2,17.73117647058823,2,78.43137254901961
"Opening bouquet is elusive and coy; time in the copita brings out a touch more in the way of astringent orange zest and pulp. Palate entry is clean, acidic, bittersweet and straightforward; by midpalate, the pleasantly acidic and refreshing orange pulp taste takes control. Ends understated, composed, lean and a winner, especially for the money.",spirits_taster,2,55,346,6.290909090909091,11,16,9,6,14,3,26,15,8,2,4,20,3,17.366848484848482,2,69.0909090909091
"The opening aromas are firm, mature and biscuity; seven minutes in the copita allow this lovely blend to accentuate the subtle, sea breeze-like, saltine-like virtues even more. Palate entry is peaty and oily; by midpalate, the island/salty/baked bread influence of Talisker is undeniable. Finishes with a kiss of dark caramel.",spirits_taster,5,54,326,6.037037037037037,13,18,9,7,11,3,36,8,10,3,6,17,4,16.004444444444445,2,70.37037037037037
"The piquant, intense opening bouquet offers prickly darts of black pepper and hot red chili pepper. Palate entry is mildly hot and spicy, giving off deep tastes of dried red chili pepper; at midpalate, there's a brief respite but at the finish the chili pepper heat returns, most pleasantly.",spirits_taster,4,50,291,5.82,7,17,10,5,12,2,39,18,10,4,7,14,2,18.4822,4,76.0
"The opening sniffings find scents of caramelized sugar and burnt match; later inhalations detect deeper scents of saddle leather, light maple and molasses. The palate entry is pleasingly sweet and intensely rum-like; at midpalate the sweetness diminishes slightly with flavors of maple, molasses, vanilla bean and cinnamon. Finishes shyly, but agreeably spicy. Best Buy.",spirits_taster,7,55,370,6.7272727272727275,11,21,11,6,8,4,30,3,10,2,3,14,5,17.130454545454548,6,74.54545454545455
"he delightful bouquet includes notes of baked apple, marshmallow, raisins and banana with perfumy scents of carnations and honeysuckle. The palate entry displays flavors of light caramel and nougat; the midpalate tastes include marzipan, honey and candied pear. Ends up integrated and semisweet. Very nice.",spirits_taster,5,45,306,6.8,8,19,7,5,7,4,22,3,9,3,2,14,3,16.223,1,71.11111111111111
"The first sniffings find the fruity/apple/pear thumbprint detected in the VS and VSOP; later inhalations pick up pine, cedar, cardamom and a hint of sautéed butter. The palate entry is smooth, pleasantly oaky and off-dry; the semisweet midpalate flavors include dark caramel, walnut paste, oak and palm oil. Finishes woody, semisweet and nutty.",spirits_taster,5,57,344,6.035087719298246,14,25,10,5,7,3,34,7,12,3,1,15,3,16.495263157894733,3,70.17543859649122
"The first inhalations find typical mezcal scents such as rubber tire, India ink and vinyl; after more air contact the aroma adds only baked aromas, mostly of burning rubber. The palate entry is surprisingly sweet and mild; at midpalate a robust sooty flavor takes charge of the flavor. Ends up moderately sweet and smoky.",spirits_taster,7,54,321,5.944444444444445,7,17,11,6,12,3,33,7,11,4,5,18,3,15.568333333333335,4,72.22222222222221
"An initial aroma of sweet-sour scents of nail polish and flowery fresh-off-the-still spirits; later sniffings pick up vegetal, sour aromas of cucumber, lemongrass, cactus, spice and citrus. Shows some semblance of green agave at palate entry; at midpalate a pleasantly piquant smoke and charcoal sweetness takes command. Ends up sweet and vegetal.",spirits_taster,5,56,347,6.196428571428571,13,20,9,4,13,3,41,6,12,1,8,15,2,17.0885119047619,2,69.64285714285714
"Mildly sweet scents of orange peel and raw cocoa. The palate entry is sweet, thick and orangey, countering the sugary sweetness.",spirits_taster,3,21,128,6.095238095238095,4,5,4,2,8,2,15,10,2,2,5,6,2,12.528571428571432,1,76.19047619047619
"Delectable scents of pork sausage, malted milk, and grass; aeration time brings up sour, lemony, yeasty/doughy notes balanced by the sweet grain. The palate entry is firm, silky and moderately sweet; at midpalate there's a pleasing oiliness underpinning the sweet, grainy, lightly wooded taste profile. Finishes malty, breakfast cereal grainy, lightly honeyed, and zesty.",spirits_taster,6,56,371,6.625,16,22,10,9,10,3,30,13,11,4,3,12,3,19.107083333333335,4,80.35714285714286
"The first whiffs pick up a pleasant mango meat/pulp freshness; over time, the aroma becomes slightly spicy and even green melon-like. The taste at palate entry is off-dry, suitably fruity and mango-like; at midpalate the mango flavor is less pronounced as the acidity turns stronger. Ends up nicely ripe and mellow. Best Buy.",spirits_taster,8,57,325,5.701754385964913,12,16,8,6,13,4,31,3,7,4,5,17,5,12.55026315789474,6,71.9298245614035
"Initial aroma of acidic scents of grapes, green apple and citrus; aeration improves the bouquet as the fruity aromas mingle with resiny wood, distant toffee and beeswax. Palate entry offers measured sweetness and light caramel; the flavor then broadens to include charred marshmallow, dark toffee, nougat and milk chocolate. A California distiller to watch closely.",spirits_taster,4,55,365,6.636363636363637,9,24,15,8,6,4,26,7,10,5,2,15,2,16.702272727272728,2,72.72727272727273
"Opening aroma is alluringly creamy and toffee-like; aeration adds notes of milk chocolate, coffee with cream and candied almonds. The palate entry is sweet and sap-like; then at midpalate the flavor profile turns Sherried and intensely spirity. Finishes in a flurry of spice and caramel tastes. Add a good measure of mineral water.",spirits_taster,7,55,331,6.0181818181818185,9,22,10,7,7,4,24,8,10,3,2,18,4,13.790636363636366,3,70.9090909090909
"The opening perfume is extremely raspberry-like; aeration tones down the jammy intensity a little as the bouquet turns seed-like. The palate entry is fruity, mildly sweet, ripe and pleasant; at midpalate there's a slight embers-on-the-tongue warmth that accompanies the ripe raspberry flavor. Ends comfortably fruity and acidic.",spirits_taster,8,53,328,6.188679245283019,12,19,6,5,11,3,34,6,8,3,7,15,3,16.552012578616356,4,73.58490566037736
"Wonderful things are promised in the early nosings as baked aromas of cherry pastry, dark bread (pumpernickel?), and toffee thrill the olfactory sense; aeration doesn't advance the bouquet to the next level. Palate entry displays soft but plump flavors of toast with honey and oaky vanilla, then at midpalate there's a rush of dark caramel/toffee/honey that nearly overwhelms the taste buds. Ends sap-like.",spirits_taster,7,68,406,5.970588235294118,13,26,13,9,11,3,40,5,11,7,5,20,3,18.024803921568626,4,73.52941176470588
"The initial aroma says “eggs over easy”, green olive brine, and white pepper; further aeration time sees the brininess scent become reminiscent of escarole soup. The palate entry is pleasingly sweet; the midpalate stage shows even more charm as the flavor profile turns lean and sugarcane sweet. Finishes on a sweet note balanced between the sugar cane, resiny wood and eggy sourness.",spirits_taster,6,62,384,6.193548387096774,10,24,12,7,14,3,31,17,10,3,7,18,3,18.074946236559143,2,75.80645161290323
"An amazing experience of aromatic waves of beans, then raw sugar cane, burning tires, black pepper, hemp, steamed asparagus, celery salt, and tar. Tastes strongly of ash, soot and burning rubber at palate entry; at midpalate a sly sweetness acts as a foundation for smoke and tar. Finishes semisweet and smooth. Best Buy.",spirits_taster,3,53,321,6.056603773584905,13,23,9,4,9,4,31,3,11,2,5,15,4,13.72160377358491,2,71.69811320754717
"The opening nosings uncover aromas of toffee, biscuit batter and buttered corn; the bouquet expands only slightly, offering slightly pinched scents of green tomatoes, green vegetables, mint, and cedar. The palate entry offers notes of mint baked apple pastry and tea leaves; the midpalate stage is smooth, biscuity, woody, grainy sweet and very toffee-like. Concludes sweet, satiny on the tongue, smoldering/warming, and resiny.",spirits_taster,7,65,428,6.584615384615384,18,29,10,10,8,3,36,15,13,5,2,17,3,20.416871794871795,4,78.46153846153847
"The nose is fresh, vegetal and pine-like; aeration allows the pine/cedar scent to dominate the latter nosing phase. The palate entry is sweet and sap-like, almost honeyed; at midpalate the flavor profile turns bittersweet and bean-like. Ends well. Solidly made and intense.",spirits_taster,7,46,273,5.934782608695652,12,14,5,8,9,4,25,3,5,4,4,13,4,12.27282608695652,3,73.91304347826086
"Opening aroma shows nicely toasted and fruity notes of oak, pine, pineapple, and banana; following aeration, the aroma evolves into a bouquet with succulent notes of deep maple, caramel and nut butter. Palate entry is rich, lip smacking sweet, and oily; at midpalate the taste profile turns cake frosting-like, sap-like, nougaty and luscious. Concludes on a minty note that undercuts the high-quality entry and midpalate phases.",spirits_taster,9,69,428,6.202898550724638,17,33,12,8,9,3,39,16,18,3,1,19,3,19.285652173913043,2,75.36231884057972
"Opening aroma is soft, malty and even a dash peppery; bouquet deepens considerably in the glass, emitting succulent scents of light caramel, marshmallow and almond butter. Palate entry is tight, lean and gently sweet and malty; midpalate stage shows lovely, moderately complex flavors of cocoa, black coffee, oak resin and cake frosting. Aftertaste is long, grainy sweet and austere.",spirits_taster,8,59,383,6.491525423728813,13,25,13,6,13,3,32,9,11,2,7,14,2,18.978418079096045,4,81.35593220338984
"This grassy, green opening aroma has Lowlands written all over it; more aeration turns the aroma into a sweet, malty/breakfast cereal bouquet that's approachable and easy. Palate entry offers ripe tastes of green apple, ripe pear, and figs; at midpalate, the flavor adds a cedar/pine/resiny background flavor that complements the fruity greenness. Finishes resiny/piney.",spirits_taster,7,59,370,6.271186440677966,14,26,12,7,11,3,35,5,14,3,5,16,4,17.940621468926558,1,76.27118644067797
"Opening nosings detect peculiar, but pleasant scents of oatmeal, grape must and guava; aeration encourages even more fruitiness to emerge; not a complex bouquet, but appealing all the same. Palate entry starts with a bang of ripe, fruity, grainy tastes; by midpalate the flavor profile teems with rich, biscuity, cake-like flavors and a firm sweetness. Aftertaste is long, off-dry and warming. Best Ladyburn I've had.",spirits_taster,7,68,417,6.132352941176471,17,22,6,11,14,4,35,6,8,6,6,20,4,15.953382352941183,3,73.52941176470588
"The opening inhalations detect charred beef, charcoal and butterscotch; later sniffings dredge up black tea leaves, burning electrical wire, and dark caramel—not the honeyed, bacon fat Sherry-a-thon that one would expect. Palate entry is moderately honeyed and waxy; by midpalate the taste turns mildly buttery and nougat-like. Concludes sweet and concentrated. Other heavily Sherried malts exist for less than half this price.",spirits_taster,5,66,427,6.46969696969697,14,20,9,10,14,4,43,5,13,6,5,16,5,17.292272727272724,5,74.24242424242425
"Delicate and light, and presented in a gorgeous bottle with a spiky glass piña (agave) blown inside. The mild, almost neutral aroma hints at vanilla. The feather-light flavors seem to float off the tongue, suggesting vanilla, jalapeño, granite and a flicker of cayenne sizzle on the exit.",spirits_taster,5,50,288,5.76,11,19,8,5,5,3,28,10,10,3,1,17,3,14.032933333333332,2,62.0
"Given some time to open up, this silver Tequila almost reads like an eau-de-vie, with subtle plum notes, agave sweetness and a peppery zing on the brisk finish. That peppery presence builds with repeated sips.",spirits_taster,3,37,209,5.648648648648648,7,12,7,6,2,2,36,8,9,4,2,11,3,14.425135135135129,1,56.75675675675676
"Pleasantly peppery, this silver Tequila offers plenty of citrus, jalapeño and a clean finish. It provides a versatile backdrop for mixing a wide range of cocktails.",spirits_taster,1,27,164,6.074074074074074,4,9,4,3,3,2,17,13,6,1,1,9,2,13.928888888888892,1,59.25925925925925
"The aroma is on the sweet side, mixing honeyed and grassy notes with a touch of fresh pear. It's sweet and fruity on the palate as well, with a light, silky feel and a flourish of baking spice on the crisp finish.",spirits_taster,6,43,213,4.953488372093023,5,12,11,4,7,2,28,20,7,2,3,19,1,12.650930232558139,2,58.139534883720934
"Mellow and sweet, this silky blanco is full of mint and other fresh herb flavors, balanced by a rounded vanilla note that veers into cookie-dough sweetness and finishes with a sprinkle of baking spice. Hefty, gift-worthy bottle embellished with two dragons flanking an agave plant.",spirits_taster,3,47,281,5.9787234042553195,7,17,9,5,9,2,39,15,13,3,7,16,2,18.479787234042554,0,65.95744680851064
"The sweet aroma layers agave and citrus with a faintly minty note. Look for that and more on the palate, as flavors of jalapeño and cayenne peppers round the bases into a citrusy, crisp finish.",spirits_taster,4,36,193,5.361111111111111,4,13,6,3,4,2,26,13,8,2,2,16,2,12.820833333333333,0,55.55555555555556
"The super-fruity aroma suggests peaches and pears. On the palate, it's more lean and green, with jalapeño pepper and black pepper smoothed with agave. The fruitiness just peeks out on the finish.",spirits_taster,3,35,195,5.571428571428571,6,11,6,4,4,3,21,9,5,2,3,14,3,10.644761904761907,2,60.0
"Close your eyes and you might think that's tomato juice in the glass. It's clear, but the fragrance is zesty, lemony and yes, fresh tomato-like. On the palate, dried oregano and green pepper come forward, plus a trace of tomato savoriness, and it finishes light, with lively lemon zest. It's mouthwatering, with moderate alcohol feel.",spirits_taster,3,59,334,5.661016949152542,13,19,12,11,7,4,29,9,9,3,2,18,2,12.608389830508479,1,64.40677966101694
"Very different from the standard-issue Corazon Blanco, this joint effort between Tequila Master Distiller Miguel Cedeno Cruz and whiskey-barrel expert Harlen Wheatley is aged in former Bourbon and rye casks from Sazerac's collection. Earthy yet fruity, this blanco brings mushrooms and bruised apples to mind. The finish displays some alcohol heat, and shows flashes of ginger, white pepper, eucalyptus and anise.",spirits_taster,1,64,413,6.453125,10,20,11,7,5,3,40,14,8,2,4,18,14,19.630885416666665,1,51.5625
"Look for mild, herbaceous aromas and a fleeting orange-peel note on the palate, concluding with a jalapeño snap. The alcohol is well balanced.",spirits_taster,2,25,142,5.68,5,6,5,4,5,2,23,6,5,3,4,9,2,11.572799999999994,1,64.0
"This botanical Tequila mixes vanilla, white flowers and a whiff of mint with welcome grapefruit peel bitterness and a twang of black pepper. Alcohol builds with repeated sips. This would be a great addition to a paloma or other citrusy cocktails.",spirits_taster,2,41,246,6.0,4,15,10,5,6,3,25,6,9,1,4,16,3,13.663333333333334,0,63.41463414634146
"Most of the Luna Nueva bottlings are marked by luscious, dessert-like flavors drawn from barrel aging. Without the oak, what remains is fresh and pleasantly herbal and citrusy. The mint, fresh basil and lemon notes segue into jalapeño prickle and a brisk finish. Definitely margarita material.",spirits_taster,5,48,293,6.104166666666667,8,16,7,7,7,4,20,4,4,4,3,16,6,13.320625,2,66.66666666666666
"Made by bartenders for bartenders, not surprisingly this is a versatile, cocktail-friendly Tequila. It's honeyed and faintly citrusy, shored up by jalapeño and black pepper flavors as well as brisk alcohol.",spirits_taster,2,34,206,6.0588235294117645,6,9,4,4,5,2,21,18,5,2,4,12,2,15.607058823529407,4,64.70588235294117
"A touchpoint for the lush, gorgeous reposado expression, the blanco is herbal and astringent, with mineral notes and touches of vanilla and coconut. It finishes spicy, all fiery cinnamon and clove.",spirits_taster,2,31,197,6.354838709677419,6,10,5,3,6,2,27,10,9,1,4,13,0,16.251290322580644,0,61.29032258064516
"Sweet, mild aromas top this blanco. This is lively on the palate, with green apple-like acidity playing off agave sweetness, followed by spearmint and jalapeño spice on the exit.",spirits_taster,5,31,178,5.741935483870968,6,11,7,4,5,2,28,8,9,3,3,11,2,13.36451612903226,0,64.51612903225806
"Surprisingly vanilla-forward for a Tequila without significant barrel time, this blanco also offers creamy honey flavor, finishing with cayenne and jalapeño pepper heat. Serve well-chilled and it should be pleasant to sip.",spirits_taster,2,35,222,6.3428571428571425,6,11,5,7,3,2,28,12,11,2,2,10,3,17.19485714285714,3,68.57142857142857
"Heady aromas of vanilla, spearmint, green pepper and thyme lend a sprightly note to this blanco. The palate is brisk and bright, with savory dried oregano and a flash of sweet mint. Finishes fiery, with notes of black pepper, cayenne and hot cinnamon.",spirits_taster,6,43,251,5.837209302325581,8,18,9,3,8,3,19,14,7,1,3,15,3,13.229922480620154,0,67.44186046511628
"The herbaceous, savory aroma is reminiscent of a bloody mary, with its dried-herb, jalapeño and lemon notes. On the palate, menthol and hints of barbecue spices emerge, finishing with a chipotle-like smoky swagger.",spirits_taster,3,36,214,5.944444444444445,9,14,6,4,6,2,23,21,7,2,4,13,2,15.568333333333335,0,66.66666666666666
"Relatively restrained, this blanco has just the slightest tinge of straw color and an invitingly warm, herbaceous aroma. On the palate, it's light bodied, with citrusy and savory, almost saline notes, and a faint campfire-smoke aroma. The modest flavors and balanced alcohol should make for food-friendly pairings.",spirits_taster,4,50,314,6.28,11,17,8,4,10,3,26,14,8,1,3,17,3,16.482133333333337,4,70.0
"This is almost neutral on the nose, with a slightly fruity fragrance. On the palate, this soft blanco shows anise, lemon peel and touches of violet and spicy cinnamon. Interestingly, the delicately fruity-floral notes suggest a grappa or pisco rather than a classic Tequila.",spirits_taster,2,45,274,6.088888888888889,8,16,9,3,5,3,20,14,9,1,1,17,3,14.748666666666665,4,62.22222222222222
"This unique Tequila sees just a few weeks in Sauternes and Cognac barrels. The end result is a pale straw tinge and a sweet aroma that mixes honeysuckle and citrus. On the palate, this is a zesty, mouthwatering blanco, with lots of jalapeño, cayenne and black pepper flavor. The spicy finish is tempered by a hint of vanilla. Compared to the company's lovely reposado, the blanco feels slightly raw. Consider this lively contender for margaritas and other cocktails.",spirits_taster,6,80,466,5.825,11,26,16,10,10,6,23,10,8,2,1,33,9,12.67241666666667,2,60.0
"Big, bold and gutsy in every way, from the colorful Mexican wrestler motif on the label to the zesty blanco inside. The tomato- and oregano-laden aroma leads to rounded, citrusy flavors with a faint, rounded butterscotchy note on the exit. A natural match for sangritas, bloodies and other savory drinks.",spirits_taster,1,51,304,5.96078431372549,9,16,9,2,13,3,24,12,7,1,5,19,3,15.145294117647062,1,62.745098039215684
"Pineapple and sweet agave drive the fragrance. On the palate, however, it's peppery from the get-go, with fruitiness wafting in later, alongside a soft vanilla note to close things out.",spirits_taster,3,32,185,5.78125,7,11,4,4,2,2,31,8,7,4,1,10,2,13.799687499999997,2,59.375
"Vegetal and fresh, the aroma leans toward green bell peppers and jalapeño peppers. The same vegetal flavors are reflected on the palate, smoothed with a lingering touch of honey. It feels substantial, with muscular alcohol presence.",spirits_taster,2,37,232,6.27027027027027,6,11,7,6,7,3,18,9,4,4,2,13,2,14.269639639639635,0,64.86486486486487
"This blanco has a delectably sweet fragrance—honeyed agave accented by a slight floral note. On the palate, this is a fiery number, although the alcohol heat fades into a mellow, sweet agave finish with touches of vanilla and white flowers.",spirits_taster,5,41,240,5.853658536585366,6,14,9,4,7,3,30,7,10,1,4,16,2,12.974065040650409,1,63.41463414634146
"First impressions count: there's no getting around the heavy, guitar-shaped novelty bottle with a bottle cap full of mango licor de Tequila. The Tequila is relatively neutral, with a light, marshmallowy scent and a juicy, citrusy flavor that seems ready-made for mixing margaritas.",spirits_taster,2,46,281,6.108695652173913,9,12,7,8,9,2,28,27,7,4,4,13,4,18.841956521739128,2,67.3913043478261
"The aroma is almost neutral, with a delicate herbal, grassy whiff. On the palate, this Tequila displays well judged barrel--aging, already showing gentle notes of coconut, crème de cacao, lemon cream pie and a pretty baking-spice finish.",spirits_taster,3,40,237,5.925,10,14,7,5,5,2,35,14,12,4,1,10,3,16.476750000000003,4,70.0
"Perky spearmint and honey intertwine on the nose of this fresh, grassy blanco. The palate reveals menthol and a hint of petrol, finishing on a citrusy note with a spark of ginger and a dry feel.",spirits_taster,2,36,194,5.388888888888889,4,15,9,2,3,2,25,15,9,2,1,16,2,12.951666666666668,0,55.55555555555556
"The whimsical Mexican wrestler motif on the label commands attention first. Inside, this blanco has a mild, herbaceous aroma and vegetal palate that mingles green pepper, a minerally touch and vanilla sweetness. The alcohol presence is pronounced.",spirits_taster,2,37,247,6.675675675675675,6,13,8,5,7,3,25,6,7,2,5,12,3,16.179099099099098,3,75.67567567567568
"Give this blanco a little time in the glass to open up, which helps coax out a sweet, pear-like scent. The flavor mingles perky jalapeño and a fleeting fruity-agave sweetness, though just a couple of sips in, and those flavors are nearly obscured by fiery alcohol heat.",spirits_taster,4,50,269,5.38,8,15,9,7,7,2,32,25,10,3,3,18,2,16.409799999999997,3,64.0
"Opening nosing passes pick up nut/nougaty scents; plump, maple-like aromas of caramel, sap, baked apple and toasted almond emerge with aeration. Palate entry is sap-sweet, concentrated, candied and toasty; midpalate features resiny tastes of nougat, oak and palm oil. Finish is oily, woody, medium-hot and semisweet. Shows a quick furnace-blast of heat in aftertaste. Keep away from children and open flames.",spirits_taster,7,66,408,6.181818181818182,20,33,8,6,12,5,30,8,13,2,3,15,5,14.286363636363639,2,80.3030303030303
"Initial fragrances are of lead, black pepper and tobacco leaf; with another six minutes of aeration, the bouquet turns bitter, steely and metallic. Palate entry displays semisweet tastes of marshmallow, cola and walnut; midpalate is highlighted by chewy flavors of almond butter and bacon fat. Finish is oily, thick and semisweet. Weirdly appealing.",spirits_taster,5,53,349,6.584905660377358,11,21,9,7,10,4,28,3,7,2,6,15,3,16.209905660377352,1,73.58490566037736
"Nose is fruity, peel-like and slightly tart in the initial passes; subsequent sniffings reveal appetizing scents of mildly sweet fruit, cardboard, pencil eraser and pomace. Palate entry is tart to off-dry, gently fruity and focused; once the flavor profile gains its footing, it displays evolved tastes of ripe grapes, pears and gum, all without incinerating the taste buds. Ends elegantly.",spirits_taster,7,62,390,6.290322580645161,14,22,12,8,11,3,41,3,11,6,5,17,3,18.530752688172043,7,77.41935483870968
